Receptor TF PPR
1364 Ceacam1 Anxa2 0.00397292818094406
1318 Ceacam1 Parp2 0.003765671925324
1210 Ceacam1 Rai14 0.00365659487323846
1379 Ceacam1 Actr1a 0.00364877099806482
1904 Cldn3 Hspa5 0.00349467421273451
1568 Cldn3 Eef1a1 0.00348620520538204
1512 Cldn3 Trp53 0.00347791579724125
1334 Ceacam1 Acadm 0.00338712729473015
1362 Ceacam1 Itgb1 0.00337509308567935
1820 Cldn3 App 0.00326583809844729
1121 Ceacam1 Ybx3 0.00323220078129372
1247 Ceacam1 Klf7 0.00321769495360453
1444 Ceacam1 Tnrc6a 0.00321420379046258
1275 Ceacam1 Brd3 0.00321400962800935
1907 Cldn3 Hspd1 0.00320718500261042
1746 Cldn3 Hnrnpl 0.00315396571984642
1651 Cldn3 Sfpq 0.00308936038849269
1561 Cldn3 Hnrnpk 0.00294735438523721
1859 Cldn3 Prdx2 0.00292894690686702
1915 Cldn3 Sod1 0.00282945082624014
2018 F11r Ctnnb1 0.00280003192416424
2295 F11r Ubb 0.00272071320414522
2293 F11r Mtdh 0.00272063156006763
2085 F11r Mapk1 0.00270954148393668
1699 Cldn3 Eno1 0.00269063751848465
1900 Cldn3 Prdx6 0.00265524358299588
2332 F11r Rtn4 0.00255949713898789
1928 Cldn3 Pkm 0.00255598522068732
2086 F11r Mapk3 0.00252881091724312
1839 Cldn3 Kras 0.00250584965107278
2327 F11r Kras 0.00247901594212663
1917 Cldn3 Ldha 0.00244124097762191
1771 Cldn3 Hnrnph1 0.00242437446129628
1821 Cldn3 Park7 0.0024231194040575
1493 Cldn3 Sp1 0.00241569970846426
33 Cd44 Taf1 0.0023887819602003
19 Cd44 Jun 0.00237925039417466
2501 Sdc1 Chd4 0.0023782719364632
1857 Cldn3 Hras 0.00237124951414534
2345 F11r Hras 0.00236954413356865
2137 F11r Tmf1 0.00236458410724447
2608 Sdc1 Ddb1 0.00234339835261286
2796 Sdc1 App 0.00232060721861132
2726 Sdc1 Ddx21 0.00231865128019635
2376 F11r Tjp2 0.00231640232436628
2588 Sdc1 Safb 0.00227546692075505
1689 Cldn3 Hdgf 0.00227036481659252
49 Cd44 Trp53 0.00226331809912213
2342 F11r Rhoa 0.00224825063673499
2742 Sdc1 Rbm34 0.0022106790444485
2231 F11r Csnk2a1 0.00217606645927913
2506 Sdc1 Ctnnb1 0.002173295849958
3114 Sdc4 Sfpq 0.00217033015063398
2338 F11r Itgb1 0.00215519264253131
1925 Cldn3 Gsn 0.00214078602331883
2921 Sdc1 Larp1 0.00210179511338483
1836 Cldn3 Pebp1 0.00206538944068462
1008 Ceacam1 Taf1 0.00205184237653886
3298 Sdc4 Sqstm1 0.0020439553453677
2425 F11r Igbp1 0.00203316829009838
506 Cdh1 Jun 0.00201770878805963
3031 Sdc4 Eef1a1 0.00201155017829192
2573 Sdc1 Mapk1 0.00201022020044832
1794 Cldn3 Aplp2 0.00199257848443783
3367 Sdc4 Hspa5 0.00199153256367437
3245 Sdc4 Snrnp70 0.00198734468435245
3004 Sdc4 Sf1 0.00198031905585057
3338 Sdc4 Sptbn1 0.00197628956980321
2513 Sdc1 Xrn2 0.00195379535031502
2333 F11r Cd9 0.00194658978797265
3075 Sdc4 Safb 0.00193881020107615
592 Cdh1 Eef1a1 0.00193664146058755
2468 Sdc1 Smc3 0.00192478280250858
2663 Sdc1 Safb2 0.00191538168202772
1984 F11r Taf1 0.00190802728230926
928 Cdh1 Hspa5 0.00190138497210742
2553 Sdc1 Rbbp7 0.00190100284202672
520 Cdh1 Taf1 0.00187628663532856
372 Cd44 Sqstm1 0.00185671412649321
2479 Sdc1 Cebpz 0.00184578719218695
2447 Sdc1 Ctcf 0.00184280820922633
67 Cd44 Ctnnb1 0.00184144286338358
2568 Sdc1 Supt5 0.00182770576730347
2756 Sdc1 Phip 0.00180862091626135
2574 Sdc1 Mapk3 0.00180859029890289
83 Cd44 Pcbp1 0.00180430065411157
2451 Sdc1 Ep300 0.00177971683632606
66 Cd44 Cdc5l 0.00177929931570688
2959 Sdc4 Taf1 0.00177803424101361
411 Cd44 Sptbn1 0.00177279991224649
2472 Sdc1 Taf1 0.00176876747345771
388 Cd44 Anxa2 0.00176496087254613
1496 Cldn3 Taf1 0.00175414869377158
448 Cd44 Cdc42 0.00175208416705753
2823 Sdc1 Cd44 0.00174838813785817
2606 Sdc1 Aatf 0.00174490228986285
3342 Sdc4 Hsp90ab1 0.00174390099842228
1482 Cldn3 Jun 0.00173095288332209
3209 Sdc4 Hnrnpl 0.00172490455147657
2392 F11r Hspa5 0.00170489451856143
903 Cdh1 Hsp90ab1 0.00170336587465007
2945 Sdc4 Jun 0.00169405067841863
536 Cdh1 Trp53 0.00167714946172899
2544 Sdc1 Eef1a1 0.00167617577966831
2782 Sdc1 Parp2 0.0016704558653001
994 Ceacam1 Jun 0.00166546770873938
2458 Sdc1 Jun 0.00166073974234644
2721 Sdc1 Glyr1 0.0016597985760891
255 Cd44 Hspb1 0.00165933090787842
2488 Sdc1 Trp53 0.00165698775180935
675 Cdh1 Sfpq 0.00163621487813352
3035 Sdc4 Ddx5 0.00162878770720599
3370 Sdc4 Hspd1 0.00162125645030631
440 Cd44 Hspa5 0.00161933792565008
2975 Sdc4 Trp53 0.00160716310437462
2000 F11r Trp53 0.00160488350903591
407 Cd44 Rac1 0.00160039754646434
547 Cdh1 Eed 0.00159952598216291
2532 Sdc1 Cbx5 0.00159672780745084
2879 Sdc1 Hspa5 0.00159600373846361
2986 Sdc4 Eed 0.00158065259800587
2895 Sdc1 Eif2s1 0.0015777677968216
105 Cd44 Eef1a1 0.00157744848111079
467 Cd44 Tes 0.00157545837438348
