TF TG
1 Atf3 Acbd3
2 Atf3 Acbd5
3 Atf3 Actb
4 Atf3 Actg1
5 Atf3 Actn1
6 Atf3 Actn4
7 Atf3 Ahnak
8 Atf3 Akr1b8
9 Atf3 Aldoa
10 Atf3 Ano6
11 Atf3 Anxa1
12 Atf3 Anxa2
13 Atf3 Anxa3
14 Atf3 Anxa5
15 Atf3 Anxa7
16 Atf3 App
17 Atf3 Areg
18 Atf3 Arf1
19 Atf3 Arl1
20 Atf3 Arpc2
21 Atf3 Arpc5
22 Atf3 Arpp19
23 Atf3 Atf4
24 Atf3 Atp6ap1
25 Atf3 Atp6v0b
26 Atf3 Atp6v0e
27 Atf3 Atp6v1d
28 Atf3 Atp6v1e1
29 Atf3 Bnip3l
30 Atf3 Brd4
31 Atf3 Bzw1
32 Atf3 Cacybp
33 Atf3 Cald1
34 Atf3 Calm1
35 Atf3 Calm2
36 Atf3 Calr
37 Atf3 Canx
38 Atf3 Capns1
39 Atf3 Capzb
40 Atf3 Cast
41 Atf3 Ccdc25
42 Atf3 Ccnd1
43 Atf3 Ccnd2
44 Atf3 Ccnl1
45 Atf3 Cct2
46 Atf3 Cct3
47 Atf3 Cct4
48 Atf3 Cd151
49 Atf3 Cd2ap
50 Atf3 Cd63
51 Atf3 Cd81
52 Atf3 Cdc123
53 Atf3 Cdc42
54 Atf3 Cdkn1a
55 Atf3 Cgn
56 Atf3 Chmp2a
57 Atf3 Chmp3
58 Atf3 Chmp4b
59 Atf3 Cldn4
60 Atf3 Clic1
61 Atf3 Clic4
62 Atf3 Clip1
63 Atf3 Clta
64 Atf3 Cltb
65 Atf3 Clu
66 Atf3 Cnn2
67 Atf3 Commd3
68 Atf3 Comt
69 Atf3 Copb1
70 Atf3 Cox5a
71 Atf3 Cox6a1
72 Atf3 Cox7c
73 Atf3 Csnk1a1
74 Atf3 Cstb
75 Atf3 Ctnna1
76 Atf3 Cxcl16
77 Atf3 Cyc1
78 Atf3 Cycs
79 Atf3 Cystm1
80 Atf3 Ddx21
81 Atf3 Ddx3x
82 Atf3 Denr
83 Atf3 Dnaja1
84 Atf3 Dnajc2
85 Atf3 Dnajc8
86 Atf3 Dnase2a
87 Atf3 Dnm1l
88 Atf3 Drap1
89 Atf3 Dstn
90 Atf3 Dync1i2
91 Atf3 Edf1
92 Atf3 Eef1a1
93 Atf3 Ehd4
94 Atf3 Eif1
95 Atf3 Eif1a
96 Atf3 Eif2s2
97 Atf3 Eif3a
98 Atf3 Eif3g
99 Atf3 Eif4g2
100 Atf3 Eif5
101 Atf3 Eif5a
